Categoría,Pregunta,Respuesta Correcta,Incorrecta 1,Incorrecta 2,Incorrecta 3
Vocabulario Básico,¿Cómo se dice "hola" en italiano?,Ciao,Hola,Bonjour,Hello
Vocabulario Básico,¿Qué significa "grazie"?,Gracias,Adiós,Por favor,Lo siento
Gramática,¿Cuál es el artículo definido para "il libro"?,Il,La,I,Gli
Gramática,¿Cómo se conjuga el verbo "essere" en presente para "io"?,Sono,Sei,Sta,Siamo
Cultura Italiana,¿Cuál es la capital de Italia?,Roma,Milán,Venecia,Florencia
Cultura Italiana,¿En qué ciudad se encuentra el Coliseo?,Roma,Venecia,Nápoles,Turín
Comida,¿Cómo se dice "pizza" en italiano?,Pizza,Pasta,Risotto,Gelato
Comida,¿Qué postre italiano tradicional es conocido por ser helado?,Gelato,Tiramisú,Cannoli,Panna cotta
Números,¿Cómo se escribe el número "cinco" en italiano?,Cinque,Tre,Sette,Dieci
Números,¿Qué número es "dieci" en italiano?,10,5,7,15
Verbos,¿Qué significa "mangiare"?,Comer,Beber,Dormir,Hablar
Verbos,¿Cómo se dice "yo hablo" en italiano?,Io parlo,Io mangio,Io dormo,Io bevo
Lugares,¿Cómo se dice "playa" en italiano?,Spiaggia,Mare,Montagna,Lago
Lugares,¿Qué palabra italiana significa "ciudad"?,Città,Paese,Villaggio,Regione
Expresiones Comunes,¿Cómo se dice "por favor" en italiano?,Per favore,Grazie,Scusa,Arrivederci
Expresiones Comunes,¿Qué expresión italiana significa "hasta luego"?,Arrivederci,Ciao,Buongiorno,Buonanotte
Vocabulario Básico,¿Cómo se dice "adiós" en italiano?,Arrivederci,Ciao,Buongiorno,Buonanotte
Vocabulario Básico,¿Qué significa "scusa"?,Perdón,Gracias,Por favor,Hola
Gramática,¿Cuál es el artículo definido para "la casa"?,La,Il,I,Gli
Gramática,¿Cómo se conjuga el verbo "avere" en presente para "tu"?,Hai,Ho,Hanno,Ha
Cultura Italiana,¿En qué región de Italia se encuentra Venecia?,Veneto,Toscana,Lombardía,Sicilia
Cultura Italiana,¿Qué famosa torre inclinada está en Pisa?,Torre de Pisa,Coliseo,Palacio Ducal,Basilica de San Marcos
Comida,¿Cómo se dice "pasta" en italiano?,Pasta,Pizza,Risotto,Gnocchi
Comida,¿Qué tipo de comida italiana es similar a los ñoquis?,Gnocchi,Pasta,Ravioli,Lasagna
Números,¿Cómo se escribe el número "siete" en italiano?,Sette,Uno,Tre,Cinque
Números,¿Qué número es "venti" en italiano?,20,10,15,25
Verbos,¿Qué significa "bere"?,Beber,Comer,Dormir,Hablar
Verbos,¿Cómo se dice "él come" en italiano?,Lui mangia,Lui beve,Lui dorme,Lui parla
Lugares,¿Cómo se dice "montaña" en italiano?,Montagna,Mare,Spiaggia,Collina
Lugares,¿Qué palabra italiana significa "lago"?,Lago,Mare,Montagna,Fiume
Expresiones Comunes,¿Cómo se dice "buenos días" en italiano?,Buongiorno,Buonasera,Buonanotte,Ciao
Expresiones Comunes,¿Qué expresión italiana significa "buenas noches"?,Buonanotte,Buongiorno,Buonasera,Ciao
Vocabulario Básico,¿Cómo se dice "agua" en italiano?,Acqua,Vino,Birra,Caffè
Vocabulario Básico,¿Qué significa "vino"?,Wine,Water,Beer,Coffee
Gramática,¿Cuál es el artículo definido para "gli amici"?,Gli,Il,La,I
Gramática,¿Cómo se conjuga el verbo "andare" en presente para "noi"?,Andiamo,Vai,Vanno,Va
Cultura Italiana,¿Qué famoso pintor italiano pintó la Mona Lisa?,Leonardo da Vinci,Michelangelo,Rafael,Donatello
Cultura Italiana,¿En qué ciudad nació Dante Alighieri?,Florencia,Venecia,Roma,Milán
Comida,¿Cómo se dice "queso" en italiano?,Formaggio,Pane,Pasta,Pizza
Comida,¿Qué tipo de queso italiano es famoso por su forma de rueda grande?,Parmigiano-Reggiano,Mozzarella,Gorgonzola,Ricotta
Números,¿Cómo se escribe el número "nueve" en italiano?,Nove,Uno,Tres,Cinco
Números,¿Qué número es "quindici" en italiano?,15,5,10,20
Verbos,¿Qué significa "dormire"?,Dormir,Comer,Beber,Hablar
Verbos,¿Cómo se dice "nosotros comemos" en italiano?,Noi mangiamo,Noi beviamo,Noi dormiamo,Noi parliamo
Lugares,¿Cómo se dice "río" en italiano?,Fiume,Mare,Montagna,Lago
Lugares,¿Qué palabra italiana significa "colina"?,Collina,Montagna,Spiaggia,Lago
Expresiones Comunes,¿Cómo se dice "buenas tardes" en italiano?,Buonasera,Buongiorno,Buonanotte,Ciao
